[2018-02-19 11:31:30,517] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.79%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:31:41,233] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:31:52,389] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:32:03,234] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:32:14,269] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:32:24,982] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:32:35,754] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:32:46,898] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:32:57,847] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:33:08,749] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:33:20,056] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:33:31,116] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:33:42,019] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.82%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:33:53,681] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.82%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:34:04,397] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.79%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:34:15,297] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.82%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:34:26,092] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.82%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:34:37,073] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.82%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:34:48,199] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.82%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:34:59,281] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:35:10,115] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:35:20,775] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.75%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:35:31,790] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.78%, 利润空间小于1%, 放弃本次套利 0
[2018-02-19 11:35:42,494] main_cl.py[line:56] [INFO]: 预期本次[正向套利:买BIG/ETH -> 卖BIG/BNC -> 买ETH/BNC]利润: -0.75%, 利润空间小于1%, 放弃本次套利 0
